 	194
же он	4
сказала что	4
моей жизни	4
надо было	4
знает что	4
в 	4
т 	4
не знал	4
в персию	4
по узкой	4
было что	4
ну так	4
было с	4
руками 	4
на бульваре	4
не буду	4
на глазах	3
разные необыкновенные	3
вы были	3
черкесы 	3
во весь	3
не из	3
то все	3
и тем	3
должна быть	3
домой я	3
поздней ночи	3
только так	3
руки 	3
голос я	3
о бэле	3
в кусты	3
раздалось со	3
она я	3
еще на	3
княжной 	3
начал рассказывать	3
в саду	3
хорошо 	3
 прибавила	3
что хотя	3
 точно	3
как человек	3
во время	3
сторон 	3
мое сердце	3
себя в	3
с видом	3
уж эта	3
он только	3
со слезами	3
не имею	3
не хуже	3
друг другу	3
штабс-капитан не	3
снова 	3
вот наконец	3
четыре часа	3
и чтоб	3
знал что	3
сказал печорин	3
записках 	3
ваше благородие	3
с трудом	3
это были	3
я знаете	3
раз в	3
на грушницкого	3
ему пристально	3
лошадь 	3
я рассказал	3
я возвратился	3
 позвольте	3
 эй	3
мы пустились	3
волочиться за	3
не увидимся	3
показывая будто	3
больше чем	3
тусклая бледность	3
я сам	3
на шутку	3
какой вздор	3
сказал есаул	3
о своей	3
чтоб это	3
более что	3
сказал доктор	3
так прошло	3
тебе не	3
едва мог	3
вы в	3
поводья и	3
долго не	3
 сегодня	3
не на	3
жизнь свою	3
под уздцы	3
сел на	3
несколько шагов	3
едва ли	3
было не	3
в четыре	3
он так	3
бы я	3
и нельзя	3
он явился	3
это правда	3
как ты	3
тех людей	3
был еще	3
не заметил	3
он еще	3
в дверях	3
был уже	3
я помню	3
видите я	3
тамань 	3
к княжне	3
в мою	3
в лоб	3
в себе	3
меня под	3
ей 	3
три дня	3
а ведь	3
в ресторации	3
 за	3
себя за	3
ж вы	3
по дороге	3
о нет	3
остановился в	3
фаталист 	3
говорил с	3
что до	3
ж 	3
разговор был	3
отправился в	3
 помилуй	3
сквозь зубы	3
но вы	3
оттого ли	3
с шумом	3
бы вы	3
мысль что	3
ли с	3
что прикажете	3
несколько времени	3
ее как	3
к пристани	3
или на	3
мере я	3
надежды 	3
вам скажу	3
за руки	3
или нет	3
я замечал	3
не были	3
же ты	3
окна и	3
они в	3
в ту	3
следовательно не	3
еще недавно	3
и уж	3
на спине	3
 завтра	3
до поздней	3
же я	3
она ее	3
на площадке	3
воды и	3
печорина 	3
и был	3
был с	3
он ударив	3
она говорила	3
хоть бы	3
я по	3
ты братец	3
к ее	3
то чтоб	3
забора и	3
 ее	3
было нечего	3
нас на	3
я после	3
внимания на	3
и пошла	3
из окна	3
и покачала	3
 из	3
в полной	3
прибавила она	3
не один	3
как быть	3
не признается	3
вы теперь	3
вчера 	3
за него	3
с помощью	3
княгини лиговской	3
 откуда	3
мы оба	3
и другое	3
не очень	3
в лице	3
какое мне	3
трус 	3
ушел в	3
своей клеветы	3
 надо	3
в ногу	3
а на	3
нет еще	3
не что	3
обыкновенного 	3
нынче ночью	3
отвечал капитан	3
пожалуйста 	3
слепой мальчик	3
быть на	3
казак мой	3
это ничего	3
вдруг слышу	3
мне дело	3
же вы	3
наконец они	3
от нас	3
я говорил	3
она знает	3
вещи 	3
она вздрогнула	3
ко лбу	3
я знал	3
это за	3
с максимом	3
с удивлением	3
с историей	3
смеясь 	3
ее она	3
кажется он	3
что так	3
на камень	3
ну как	3
 боже	3
возвратился в	3
ты знаешь	3
скажи мне	3
я стоял	3
с утеса	3
тогда я	3
к ним	3
к ногам	3
и когда	3
в пятигорск	3
этому причиной	3
был бы	3
помилуйте 	3
и кое-как	3
 n	3
 с	3
моей я	3
и его	3
раз 	3
уж на	3
в минуту	3
согласен 	3
я замужем	3
к нам	3
моей родилось	3
я уверена	3
в которых	3
лице ее	3
 т	3
я шел	3
голове моей	3
с ума	3
послушай 	3
чтоб они	3
было в	3
солдатской шинели	3
а-га 	3
явно было	3
узнал что	3
он что-то	3
лицо ее	3
княгиня с	3
в доме	3
друг 	3
мало ли	3
он сам	3
с горы	3
 думал	3
я взошел	3
минут он	3
лице его	3
сам не	3
ей руку	3
с кем	3
и притом	3
страсти и	3
ее от	3
разве ты	3
была очень	3
 раздалось	3
по плечу	3
вечера я	3
моего коня	3
грушницкий не	3
сильно билось	3
на лавке	3
с нижегородским	3
с своей	3
он отвернулся	3
взял его	3
мне хотелось	3
окно и	3
она едва	3
их разговор	3
не более	3
я молчал	3
похожее на	3
мне вчера	3
том свете	3
или поздно	3
слышно было	3
о землю	3
меня по	3
вернер 	3
к вам	3
обеими руками	3
ночью 	3
с иронической	3
крепостной вал	3
ним и	3
думает что	3
в отечественных	3
направо и	3
стало жаль	3
 здесь	3
мы долго	3
пристально в	3
вот и	3
было и	3
сказал ей	3
этот вечер	3
десятка два	3
что завтра	3
да притом	3
мы ехали	3
с них	3
со всеми	3
сделал несколько	3
только на	3
нем не	3
что этот	3
что ему	3
уж эти	3
в свете	3
 mon	3
 пожалуй	3
от берега	3
я как	3
у огня	3
что тут	3
в себя	3
 когда	3
никому не	3
рукою и	3
скучно 	3
что оно	3
свою лошадь	3
что его	3
были уж	3
послушайте максим	3
и еще	3
что иначе	3
сидел в	3
прямо к	3
вперед по	3
тебе ее	3
эту ночь	3
бледность покрывала	3
эти записки	3
и было	3
как ребенок	3
крестовую гору	3
есть только	3
ведь ты	3
теперь не	3
вид 	3
как камень	3
 продолжала	3
где же	3
деле он	3
бог его	3
жизни я	3
что иное	3
молодых людей	3
тюрк 	3
я имею	3
и гляди	3
меня так	3
поскакал в	3
я внутренно	3
так мало	3
я пожал	3
мою одежду	3
него на	3
 пробормотал	3
к счастию	3
а когда	3
я взял	3
и готов	3
быть осторожнее	3
отечественных записках	3
продолжала она	3
ты можешь	3
отвернулся и	3
думая что	3
на охоте	3
смешно я	3
у этих	3
взошел в	3
мой я	3
я вошел	3
им что	3
не могут	3
на улице	3
и бросил	3
надеюсь что	3
обернулась и	3
ни в	3
на щеках	3
время я	3
так как	3
кто же	3
рано или	3
что дочь	3
свет и	3
ему разные	3
и отвернулся	3
одного из	3
во мраке	3
кто ж	3
 верно	3
к себе	3
мне случай	3
на бале	3
она вышла	3
я боюсь	3
видишь я	3
кавказе 	3
как бы	3
за тереком	3
грушницкий и	3
я приехал	3
нехорошо 	3
что казбич	3
 никто	3
он мог	3
честное слово	3
 очень	3
часов утра	3
у которого	3
были в	3
люди 	3
я сидел	3
а бог	3
что нынче	3
по его	3
бросился на	3
был очень	3
взобрались на	3
наконец она	3
весь дух	3
в лицо	3
с места	3
с востока	3
ней и	3
я надеюсь	3
его дрожали	3
чувствую что	3
это случилось	3
пари 	3
в конце	3
которой он	3
комнату я	3
на этот	3
он вам	3
не шутя	3
от души	3
познакомился с	3
да уж	3
о нем	3
быть вы	3
ему руку	3
свете я	3
меня нет	3
в мире	3
на небесах	3
иное как	3
лермонтова 	3
из нее	3
ее губы	3
перед смертью	3
женщин с	3
без меня	3
за нее	3
что ее	3
ту же	3
и поскакал	3
готов был	3
на воды	3
тотчас же	3
да куда	3
меня любит	3
признаюсь я	3
у штабс-капитана	3
и теперь	3
я продолжал	3
я этого	3
я читал	3
на месте	3
надо только	3
богу 	3
заметить что	3
нет но	3
на мне	3
жизнь была	3
была уже	3
ей все	3
с этим	3
у подошвы	3
его месте	3
мне с	3
долго долго	3
в сердце	3
на дороге	3
 пожалуйста	3
следил за	3
есть 	3
с тобой	3
ну уж	3
что вам	3
хотите я	3
к этим	3
и подал	3
 скажите	3
моя ундина	3
привык к	3
зашел к	3
все время	3
ответ 	3
на своих	3
счастье 	3
рано утром	3
любезный 	3
на сердце	3
к лучшему	3
и наклонясь	3
или это	3
не говорит	3
а все-таки	3
голову и	3
от меня	3
это только	3
июня нынче	3
к колодцу	3
мы вышли	3
одно средство	3
день утром	3
и долго	3
казбич и	3
я встал	3
я быстро	3
то не	3
целую жизнь	3
того и	3
то была	3
на кавказ	3
на другую	3
ли вам	3
на себя	3
нее и	3
 чтоб	3
важно 	3
n 	3
в последний	3
вас прошу	3
руку на	3
в первой	3
как они	3
я тогда	3
человека который	3
так вы	3
 хотите	3
не имея	3
в одиннадцать	3
скажи что	3
бросился в	3
большею частью	3
я часто	3
крепости 	3
не бывало	3
из комнаты	3
неподвижно и	3
при мне	3
с час	3
по правде	3
историю 	3
вздор 	3
а после	3
глаза в	3
сказал азамат	3
она села	3
два раза	3
я думала	3
видал 	3
она тебя	3
по берегу	3
она подняла	3
будет очень	3
в сакле	3
из самых	3
моей и	3
ее голос	3
я услышал	3
 плохо	3
неужели я	3
смотреть на	3
вам советую	3
янко не	3
мимо ее	3
они все	3
очень жаль	3
дело я	3
 даже	3
что ли	3
когда же	3
пока не	3
скажете что	3
в комнате	3
десять минут	3
все замолчали	3
похож на	3
двери и	3
среднего роста	3
это была	3
как же	3
и за	3
глядел на	3
мы встретились	3
многие 	3
его с	3
не любишь	3
он должен	3
а еще	3
как теперь	3
все было	3
 экая	2
мери не	2
протянул ему	2
ваше высокоблагородие	2
такой гордый	2
они бросились	2
что никто	2
на замок	2
из любопытства	2
желал бы	2
лошадь в	2
и горный	2
за несколько	2
отворил окно	2
после нескольких	2
братец 	2
глаза на	2
по имени	2
в грузии	2
бросим жребий	2
спокойно если	2
нечего рассказывать	2
кислосерной воды	2
впереди нас	2
моей не	2
и княгиня	2
своих товарищей	2
говорите что	2
бросились к	2
 этому	2
с узлом	2
человек который	2
вулич вышел	2
хоть в	2
мы бросим	2
что когда-нибудь	2
за другим	2
приехал в	2
 какой	2
будет в	2
что под	2
обратясь ко	2
эти эполеты	2
смеха 	2
стало скучно	2
какое-то отрадное	2
прошу не	2
случилось 	2
так его	2
в этом-то	2
я теперь	2
дело не	2
десяток баранов	2
другую 	2
подошел ко	2
я лежал	2
по двору	2
себя презираю	2
борьбе с	2
уж нечего	2
любит ли	2
были холодны	2
тебя все	2
его если	2
скрылась за	2
ней она	2
она также	2
не знаешь	2
о это	2
который хотел	2
уж два	2
того что	2
моя лодочка	2
она вам	2
слова 	2
твоя раба	2
чем я	2
читаем в	2
вот хоть	2
меня никто	2
что нашел	2
на валу	2
часто на	2
о моей	2
таков уж	2
свечу и	2
берег он	2
спрятался за	2
без сна	2
княгиня 	2
в зале	2
спустился с	2
душевные силы	2
чтоб его	2
на дне	2
и будет	2
ты 	2
свободой здешних	2
от смеха	2
же горы	2
нет ничего	2
улыбнулся 	2
довольно небрежно	2
плечу и	2
солдат и	2
какое бы	2
на две	2
с большими	2
от верной	2
куда я	2
слушал ее	2
явился ко	2
слово что	2
видите что	2
ветер я	2
мне надо	2
бэлу я	2
он смутился	2
ли деле	2
я зашел	2
с дочерью	2
и налево	2
ходили взад	2
согласно с	2
она ему	2
испытать его	2
его руку	2
чувствую в	2
кроме меня	2
сел возле	2
из пятигорска	2
если хочешь	2
от природы	2
а это	2
не говоря	2
возвратясь домой	2
глаз с	2
когда-нибудь и	2
печорин я	2
видал ее	2
дворе было	2
его секунданты	2
заложив руки	2
о камень	2
к лицу	2
я смеясь	2
он уж	2
он опустил	2
что вас	2
не слышит	2
верхом я	2
женщины к	2
в военной	2
ружье и	2
лица его	2
 совершенно	2
ты ее	2
на плечи	2
на седле	2
пистолета и	2
наша публика	2
вас уверить	2
на дуэль	2
и ежеминутно	2
совершенно против	2
приятный дом	2
то верно	2
всего этого	2
серьезный вид	2
б у	2
и надеюсь	2
досадно что	2
я прошу	2
удобного случая	2
я себя	2
мы уж	2
и стала	2
по родине	2
кажется 	2
на бульвар	2
за пояс	2
она покраснела	2
я княжне	2
два казака	2
жизни на	2
не удавалось	2
видны были	2
одна женщина	2
мысли о	2
княжна в	2
воды как	2
не случится	2
за дверью	2
видно не	2
на роду	2
ее из	2
понравиться княгине	2
как не	2
всматриваться в	2
шутя 	2
казалось что	2
грустить то	2
вот вижу	2
схватил его	2
шагах 	2
не иначе	2
твоего скакуна	2
галстук и	2
был тут	2
грушницким в	2
вы будете	2
за полчаса	2
тоски по	2
в ресторацию	2
из ружья	2
также и	2
себе как	2
так это	2
будьте уверены	2
уверены что	2
он поднял	2
только никогда	2
стреляйте 	2
ты любишь	2
так в	2
под нумерованной	2
 становитесь	2
я глядел	2
говорил мне	2
них с	2
и плакал	2
с чего	2
глаза своими	2
он никогда	2
и штабс-капитан	2
не мешает	2
драгунского капитана	2
рассказывает что	2
мне дурно	2
но ни	2
за твоего	2
отчего я	2
едет на	2
я отправился	2
время и	2
нескольких шагах	2
трудно 	2
человек в	2
чему это	2
него в	2
большие глаза	2
вдруг что-то	2
а так	2
для развлечения	2
той минуты	2
на крепостной	2
их на	2
была только	2
под конец	2
надо бы	2
на свои	2
хозяйка 	2
дрожали он	2
ее видеть	2
прикажете ли	2
да если	2
да вот	2
княжна сидела	2
к оружию	2
было досадно	2
сижу у	2
но видно	2
мы пришли	2
который так	2
его от	2
мы читаем	2
в полном	2
правде сказать	2
дал себе	2
она пристально	2
женщину с	2
что мой	2
знала с	2
под ноги	2
к своей	2
прощайте я	2
и никогда	2
того как	2
предисловие к	2
из всех	2
 эта	2
и более	2
смешно и	2
она еще	2
кое-как после	2
с лица	2
сказал очень	2
вот в	2
лежал на	2
ему хотелось	2
какие у	2
холодны как	2
говоря ни	2
хотя я	2
там и	2
вид и	2
с абреками	2
видел в	2
милостивый государь	2
кругом него	2
все к	2
которая нас	2
горный ветер	2
не спускал	2
покорюсь 	2
задумчиво у	2
шинель гораздо	2
власть как	2
 тут	2
этой стороны	2
который должен	2
а бывало	2
вы странный	2
и другой	2
о другом	2
все мои	2
он лежал	2
после узнал	2
не видать	2
тем чай	2
за рукав	2
вы так	2
вооружился и	2
меня то	2
вернулся домой	2
одна за	2
любит 	2
прервал его	2
покачал головою	2
